年份,人均住宅面积(平方米/人),数据来源,备注
1980,5.0,上海统计年鉴,改革开放初期
1981,5.1,上海统计年鉴,
1982,5.2,上海统计年鉴,
1983,5.3,上海统计年鉴,
1984,5.4,上海统计年鉴,
1985,5.6,上海统计年鉴,
1986,5.8,上海统计年鉴,
1987,6.0,上海统计年鉴,
1988,6.2,上海统计年鉴,
1989,6.4,上海统计年鉴,
1990,6.8,上海统计年鉴,房改启动
1991,7.2,上海统计年鉴,
1992,7.8,上海统计年鉴,
1993,8.5,上海统计年鉴,
1994,9.2,上海统计年鉴,
1995,10.0,上海统计年鉴,
1996,10.8,上海统计年鉴,
1997,11.8,上海统计年鉴,
1998,12.9,上海统计年鉴,房改深化
1999,14.2,上海统计年鉴,
2000,16.0,上海统计年鉴,
2001,17.2,上海统计年鉴,
2002,18.5,上海统计年鉴,
2003,19.8,上海统计年鉴,
2004,21.2,上海统计年鉴,
2005,23.0,上海统计年鉴,
2006,24.8,上海统计年鉴,
2007,26.5,上海统计年鉴,
2008,28.0,上海统计年鉴,
2009,29.5,上海统计年鉴,
2010,32.6,上海统计年鉴,
2011,32.9,上海统计年鉴,
2012,33.9,上海统计年鉴,
2013,34.5,上海统计年鉴,
2014,35.0,上海统计年鉴,
2015,35.5,上海统计年鉴,
2016,36.1,上海统计年鉴,
2017,36.7,上海统计年鉴,
2018,37.0,上海统计年鉴,
2019,37.3,上海统计年鉴,
2020,37.5,上海统计年鉴,
2021,37.8,上海统计年鉴,
2022,38.0,上海统计年鉴,
2023,38.2,上海统计年鉴,
2024,38.5,上海统计年鉴,预估
2025,,上海统计年鉴,待更新
